regime,in_force_from,in_force_to,income_upper,ehg_amount,source,status
pre_aug2024,2019-09-11,2024-08-19,1500,80000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
pre_aug2024,2019-09-11,2024-08-19,2000,75000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
pre_aug2024,2019-09-11,2024-08-19,2500,70000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
pre_aug2024,2019-09-11,2024-08-19,3000,65000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
pre_aug2024,2019-09-11,2024-08-19,3500,60000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
pre_aug2024,2019-09-11,2024-08-19,4000,55000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
pre_aug2024,2019-09-11,2024-08-19,4500,50000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
pre_aug2024,2019-09-11,2024-08-19,5000,45000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
pre_aug2024,2019-09-11,2024-08-19,5500,40000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
pre_aug2024,2019-09-11,2024-08-19,6000,35000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
pre_aug2024,2019-09-11,2024-08-19,6500,30000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
pre_aug2024,2019-09-11,2024-08-19,7000,25000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
pre_aug2024,2019-09-11,2024-08-19,7500,20000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
pre_aug2024,2019-09-11,2024-08-19,8000,15000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
pre_aug2024,2019-09-11,2024-08-19,8500,10000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
pre_aug2024,2019-09-11,2024-08-19,9000,5000,HDB Annex A 19 Aug 2024 Current column,LEVEL-VERIFIED-PRIMARY
post_aug2024,2024-08-20,,1500,120000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
post_aug2024,2024-08-20,,2000,110000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
post_aug2024,2024-08-20,,2500,105000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
post_aug2024,2024-08-20,,3000,95000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
post_aug2024,2024-08-20,,3500,90000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
post_aug2024,2024-08-20,,4000,80000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
post_aug2024,2024-08-20,,4500,70000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
post_aug2024,2024-08-20,,5000,65000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
post_aug2024,2024-08-20,,5500,55000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
post_aug2024,2024-08-20,,6000,50000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
post_aug2024,2024-08-20,,6500,40000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
post_aug2024,2024-08-20,,7000,30000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
post_aug2024,2024-08-20,,7500,25000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
post_aug2024,2024-08-20,,8000,20000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
post_aug2024,2024-08-20,,8500,10000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
post_aug2024,2024-08-20,,9000,5000,HDB Annex A 19 Aug 2024 Revised column and EHG amount Families PDF,VERIFIED-PRIMARY
