number_id,value,meaning,script,output_file
H1,2.05,"percentage points: the realised break-even spread for a 2010 start, the widest of any cohort at every tested r",22_compute.py,financing/out/headline_numbers.csv
H2,1.43,"percentage points: the weakest 2010-2015 start's realised break-even spread, the minimum across every cohort a",22_compute.py,financing/out/headline_numbers.csv
H3,2023,"the first start year whose realised break-even spread is negative at every tested reset interval, meaning the ",22_compute.py,financing/out/headline_numbers.csv
be_2010,2.0461,"realised break-even spread, 2010 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2011,1.8921,"realised break-even spread, 2011 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2012,1.9401,"realised break-even spread, 2012 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2013,1.8982,"realised break-even spread, 2013 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2014,1.6406,"realised break-even spread, 2014 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2015,1.6927,"realised break-even spread, 2015 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2016,1.6347,"realised break-even spread, 2016 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2017,1.2421,"realised break-even spread, 2017 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2018,1.3266,"realised break-even spread, 2018 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2019,1.3244,"realised break-even spread, 2019 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2020,0.5647,"realised break-even spread, 2020 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2021,0.9245,"realised break-even spread, 2021 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2022,1.5229,"realised break-even spread, 2022 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2023,-0.2375,"realised break-even spread, 2023 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2024,-1.0548,"realised break-even spread, 2024 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2025,-0.2993,"realised break-even spread, 2025 start, 36-month reset",22_compute.py,financing/out/t1_breakeven.csv
be_2010_r36,2.0461,"realised break-even spread, 2010 start, 36-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2010_r24,1.9890,"realised break-even spread, 2010 start, 24-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2010_r12,1.9059,"realised break-even spread, 2010 start, 12-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2010_r3,1.8905,"realised break-even spread, 2010 start, 3-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2011_r36,1.8921,"realised break-even spread, 2011 start, 36-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2011_r24,1.8573,"realised break-even spread, 2011 start, 24-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2011_r12,1.8439,"realised break-even spread, 2011 start, 12-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2011_r3,1.8238,"realised break-even spread, 2011 start, 3-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2012_r36,1.9401,"realised break-even spread, 2012 start, 36-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2012_r24,1.8778,"realised break-even spread, 2012 start, 24-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2012_r12,1.7663,"realised break-even spread, 2012 start, 12-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2012_r3,1.7433,"realised break-even spread, 2012 start, 3-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2013_r36,1.8982,"realised break-even spread, 2013 start, 36-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2013_r24,1.6927,"realised break-even spread, 2013 start, 24-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2013_r12,1.6778,"realised break-even spread, 2013 start, 12-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2013_r3,1.6528,"realised break-even spread, 2013 start, 3-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2014_r36,1.6406,"realised break-even spread, 2014 start, 36-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2014_r24,1.7147,"realised break-even spread, 2014 start, 24-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2014_r12,1.5760,"realised break-even spread, 2014 start, 12-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2014_r3,1.5489,"realised break-even spread, 2014 start, 3-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2015_r36,1.6927,"realised break-even spread, 2015 start, 36-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2015_r24,1.4741,"realised break-even spread, 2015 start, 24-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2015_r12,1.4586,"realised break-even spread, 2015 start, 12-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2015_r3,1.4310,"realised break-even spread, 2015 start, 3-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2016_r36,1.6347,"realised break-even spread, 2016 start, 36-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
be_2016_r24,1.4948,"realised break-even spread, 2016 start, 24-month reset",22_compute.py,financing/out/t1_reset_sensitivity.csv
