month,sora3m,hdb
2005-10,2.0404,2.6000
2005-11,2.3302,2.6000
2005-12,2.6352,2.6000
2006-01,2.9672,2.6000
2006-02,3.0940,2.6000
2006-03,3.1717,2.6000
2006-04,3.1216,2.6000
2006-05,3.1211,2.6000
2006-06,3.1431,2.6000
2006-07,3.1847,2.6000
2006-08,3.2396,2.6000
2006-09,3.2573,2.6000
2006-10,3.3125,2.6000
2006-11,3.3216,2.6000
2006-12,3.2918,2.6000
2007-01,3.2050,2.6000
2007-02,3.1456,2.6000
2007-03,2.9207,2.6000
2007-04,2.6611,2.6000
2007-05,2.3771,2.6000
2007-06,2.2379,2.6000
2007-07,2.2052,2.6000
2007-08,2.2695,2.6000
2007-09,2.2837,2.6000
2007-10,2.2575,2.6000
2007-11,2.0178,2.6000
2007-12,1.5836,2.6000
2008-01,1.2604,2.6000
2008-02,1.1332,2.6000
2008-03,1.0839,2.6000
2008-04,0.8531,2.6000
2008-05,0.6457,2.6000
2008-06,0.5125,2.6000
2008-07,0.4498,2.6000
2008-08,0.4307,2.6000
2008-09,0.7137,2.6000
2008-10,0.7723,2.6000
2008-11,0.7117,2.6000
2008-12,0.4392,2.6000
2009-01,0.3089,2.6000
2009-02,0.2298,2.6000
2009-03,0.2047,2.6000
2009-04,0.1974,2.6000
2009-05,0.1683,2.6000
2009-06,0.1232,2.6000
2009-07,0.1350,2.6000
2009-08,0.1919,2.6000
2009-09,0.2064,2.6000
2009-10,0.2574,2.6000
2009-11,0.2541,2.6000
2009-12,0.2149,2.6000
2010-01,0.1703,2.6000
2010-02,0.1352,2.6000
2010-03,0.1326,2.6000
2010-04,0.1230,2.6000
2010-05,0.1054,2.6000
2010-06,0.1170,2.6000
2010-07,0.1218,2.6000
2010-08,0.1224,2.6000
2010-09,0.1139,2.6000
2010-10,0.0997,2.6000
2010-11,0.0934,2.6000
2010-12,0.0792,2.6000
2011-01,0.0757,2.6000
2011-02,0.0732,2.6000
2011-03,0.0609,2.6000
2011-04,0.0583,2.6000
2011-05,0.0554,2.6000
2011-06,0.0619,2.6000
2011-07,0.0511,2.6000
2011-08,0.0449,2.6000
2011-09,0.0472,2.6000
2011-10,0.0511,2.6000
2011-11,0.0555,2.6000
2011-12,0.0548,2.6000
2012-01,0.0611,2.6000
2012-02,0.0522,2.6000
2012-03,0.0494,2.6000
2012-04,0.0362,2.6000
2012-05,0.0454,2.6000
2012-06,0.0484,2.6000
2012-07,0.0577,2.6000
2012-08,0.0625,2.6000
2012-09,0.0769,2.6000
2012-10,0.0794,2.6000
2012-11,0.0751,2.6000
2012-12,0.0583,2.6000
2013-01,0.0505,2.6000
2013-02,0.0505,2.6000
