month,finance_company_housing_15y,hdb
1983-01,12.4200,2.6000
1983-02,12.2100,2.6000
1983-03,11.9700,2.6000
1983-04,11.9200,2.6000
1983-05,11.8400,2.6000
1983-06,11.5700,2.6000
1983-07,11.3800,2.6000
1983-08,11.2600,2.6000
1983-09,10.9200,2.6000
1983-10,10.7400,2.6000
1983-11,10.5800,2.6000
1983-12,10.5600,2.6000
1984-01,10.4600,2.6000
1984-02,10.4600,2.6000
1984-03,10.4300,2.6000
1984-04,10.5300,2.6000
1984-05,10.6300,2.6000
1984-06,10.7600,2.6000
1984-07,10.8400,2.6000
1984-08,10.8900,2.6000
1984-09,10.9100,2.6000
1984-10,10.9100,2.6000
1984-11,10.8600,2.6000
1984-12,10.8300,2.6000
1985-01,10.6900,2.6000
1985-02,10.6400,2.6000
1985-03,10.5700,2.6000
1985-04,10.3900,2.6000
1985-05,10.2900,2.6000
1985-06,10.2100,2.6000
1985-07,10.1000,2.6000
1985-08,10.0000,2.6000
1985-09,9.6200,2.6000
1985-10,9.4900,2.6000
1985-11,9.3900,2.6000
1985-12,9.3900,2.6000
1986-01,9.3600,2.6000
1986-02,9.3600,2.6000
1986-03,9.3600,2.6000
1986-04,9.1900,2.6000
1986-05,9.0800,2.6000
1986-06,9.0600,2.6000
1986-07,8.9800,2.6000
1986-08,8.9300,2.6000
1986-09,8.8500,2.6000
1986-10,8.4200,2.6000
1986-11,8.2700,2.6000
1986-12,8.0900,2.6000
1987-01,7.7400,2.6000
1987-02,7.7400,2.6000
1987-03,7.6600,2.6000
1987-04,7.5900,2.6000
1987-05,7.4600,2.6000
1987-06,7.3800,2.6000
1987-07,7.3600,2.6000
1987-08,7.2800,2.6000
1987-09,7.2500,2.6000
1987-10,7.2000,2.6000
1987-11,7.1800,2.6000
1987-12,7.1300,2.6000
1988-01,7.0600,2.6000
1988-02,6.8600,2.6000
1988-03,6.8100,2.6000
1988-04,6.6700,2.6000
1988-05,6.3600,2.6000
1988-06,6.1800,2.6000
1988-07,6.1600,2.6000
1988-08,6.1300,2.6000
1988-09,6.1300,2.6000
1988-10,6.1300,2.6000
1988-11,6.1100,2.6000
1988-12,6.1100,2.6000
1989-01,6.1600,2.6000
1989-02,6.1600,2.6000
1989-03,6.1600,2.6000
1989-04,6.1100,2.6000
1989-05,6.1100,2.6000
1989-06,6.1100,2.6000
1989-07,6.1100,2.6000
1989-08,6.1100,2.6000
1989-09,6.1700,2.6000
1989-10,6.1200,2.6000
1989-11,6.1500,2.6000
1989-12,6.1500,2.6000
1990-01,6.1500,2.6000
1990-02,6.1500,2.6000
1990-03,6.2200,2.6000
1990-04,6.5900,2.6000
1990-05,6.5900,2.6000
1990-06,6.9300,2.6000
1990-07,7.0200,2.6000
1990-08,7.2100,2.6000
1990-09,7.2600,2.6000
1990-10,7.3600,2.6000
1990-11,7.3600,2.6000
1990-12,7.3600,2.6000
1991-01,7.3400,2.6000
1991-02,7.3400,2.6000
1991-03,7.3400,2.6000
1991-04,7.3400,2.6000
1991-05,7.3400,2.6000
1991-06,7.3400,2.6000
1991-07,7.4100,2.6000
1991-08,7.4900,2.6000
1991-09,7.4400,2.6000
1991-10,7.3900,2.6000
1991-11,7.3600,2.6000
1991-12,7.3600,2.6000
1992-01,7.2800,2.6000
1992-02,7.0000,2.6000
1992-03,7.0000,2.6000
1992-04,6.8700,2.6000
1992-05,6.8200,2.6000
1992-06,6.8000,2.6000
1992-07,6.8000,2.6000
1992-08,6.8000,2.6000
1992-09,6.7700,2.6000
1992-10,6.6700,2.6000
1992-11,6.6700,2.6000
1992-12,6.6400,2.6000
1993-01,6.6400,2.6000
1993-02,6.6400,2.6000
1993-03,6.6200,2.6000
1993-04,6.5600,2.6000
1993-05,6.4500,2.6000
1993-06,6.4200,2.6000
1993-07,6.4200,2.6000
1993-08,6.5300,2.6000
1993-09,6.5300,2.6000
1993-10,6.4800,2.6000
1993-11,6.4800,2.6000
1993-12,6.4800,2.6000
1994-01,6.4800,2.6000
1994-02,6.4800,2.6000
1994-03,6.4800,2.6000
1994-04,6.4800,2.6000
1994-05,6.5500,2.6000
1994-06,6.5500,2.6000
1994-07,6.5800,2.6000
1994-08,6.6300,2.6000
1994-09,6.7200,2.6000
1994-10,6.7500,2.6000
1994-11,6.8700,2.6000
1994-12,7.0500,2.6000
1995-01,7.0700,2.6000
1995-02,7.0700,2.6000
1995-03,7.0700,2.6000
1995-04,7.0600,2.6000
1995-05,7.0600,2.6000
1995-06,7.0600,2.6000
1995-07,7.0600,2.6000
1995-08,7.0600,2.6000
1995-09,7.0300,2.6000
1995-10,7.0300,2.6000
1995-11,7.0300,2.6000
1995-12,6.9500,2.6000
1996-01,6.9300,2.6000
1996-02,6.9100,2.6000
1996-03,6.7600,2.6000
1996-04,6.6800,2.6000
1996-05,6.6800,2.6000
1996-06,6.7300,2.6000
1996-07,6.7300,2.6000
1996-08,6.7300,2.6000
1996-09,6.8300,2.6000
1996-10,6.8300,2.6000
1996-11,6.8300,2.6000
1996-12,6.8100,2.6000
1997-01,6.8200,2.6000
1997-02,6.8200,2.6000
1997-03,6.8200,2.6000
1997-04,6.8200,2.6000
1997-05,6.8200,2.6000
1997-06,6.8200,2.6000
1997-07,6.8200,2.6000
1997-08,6.8200,2.6000
1997-09,6.8300,2.6000
1997-10,6.8300,2.6000
1997-11,6.8700,2.6000
1997-12,7.1700,2.6000
1998-01,7.9100,2.6000
1998-02,8.1600,2.6000
1998-03,8.2000,2.6000
1998-04,8.2000,2.6000
1998-05,8.2300,2.6000
1998-06,8.2500,2.6000
1998-07,8.2700,2.6000
1998-08,8.2700,2.6000
