start_year,months_realised,realised_breakeven_spread_r2,band_lo,band_hi,PROJECTION_full_tenure_last_rate_flat,PROJECTION_full_tenure_long_run_average
2010,199,2.0461,1.9738,2.1180,1.9043,1.9087
2011,187,1.8921,1.8198,1.9641,1.8190,1.8233
2012,175,1.9401,1.8675,2.0125,1.8091,1.8177
2013,163,1.8982,1.8251,1.9710,1.7084,1.7170
2014,151,1.6406,1.5674,1.7135,1.5871,1.5956
2015,139,1.6927,1.6191,1.7661,1.5728,1.5871
2016,127,1.6347,1.5606,1.7087,1.4619,1.4761
2017,115,1.2421,1.1679,1.3162,1.3253,1.3395
2018,103,1.3266,1.2519,1.4011,1.3318,1.3529
2019,91,1.3244,1.2491,1.3995,1.2625,1.2837
2020,79,0.5647,0.4892,0.6401,1.0660,1.0871
2021,67,0.9245,0.8487,1.0002,1.1961,1.2255
2022,55,1.5229,1.4467,1.5990,1.3302,1.3596
2023,43,-0.2375,-0.3142,-0.1609,1.0337,1.0631
2024,31,-1.0548,-1.1318,-0.9778,0.9276,0.9665
2025,19,-0.2993,-0.3767,-0.2219,1.0882,1.1271
