start_year,breakeven_reset_36,breakeven_reset_24,breakeven_reset_12,breakeven_reset_3
2010,2.0461,1.9890,1.9059,1.8905
2011,1.8921,1.8573,1.8439,1.8238
2012,1.9401,1.8778,1.7663,1.7433
2013,1.8982,1.6927,1.6778,1.6528
2014,1.6406,1.7147,1.5760,1.5489
2015,1.6927,1.4741,1.4586,1.4310
2016,1.6347,1.4948,1.3317,1.3107
2017,1.2421,1.1968,1.2070,1.1685
2018,1.3266,1.2659,1.0287,1.0271
2019,1.3244,0.7887,0.8846,0.9245
2020,0.5647,1.0203,0.8515,0.9037
2021,0.9245,0.6698,0.7369,0.6538
2022,1.5229,0.8263,0.3204,0.2156
2023,-0.2375,-0.4391,-0.3166,-0.1914
2024,-1.0548,-0.5117,-0.2216,0.1219
2025,-0.2993,-0.2993,0.3326,0.8548
