start_year,spread,crossover_year,note
2010,0.25,,no crossover to date
2010,0.5,,no crossover to date
2010,0.75,,no crossover to date
2010,1.0,,no crossover to date
2010,1.25,,no crossover to date
2010,1.5,,no crossover to date
2011,0.25,,no crossover to date
2011,0.5,,no crossover to date
2011,0.75,,no crossover to date
2011,1.0,,no crossover to date
2011,1.25,,no crossover to date
2011,1.5,,no crossover to date
2012,0.25,,no crossover to date
2012,0.5,,no crossover to date
2012,0.75,,no crossover to date
2012,1.0,,no crossover to date
2012,1.25,,no crossover to date
2012,1.5,,no crossover to date
2013,0.25,,no crossover to date
2013,0.5,,no crossover to date
2013,0.75,,no crossover to date
2013,1.0,,no crossover to date
2013,1.25,,no crossover to date
2013,1.5,,no crossover to date
2014,0.25,,no crossover to date
2014,0.5,,no crossover to date
2014,0.75,,no crossover to date
2014,1.0,,no crossover to date
2014,1.25,,no crossover to date
2014,1.5,,no crossover to date
2015,0.25,,no crossover to date
2015,0.5,,no crossover to date
2015,0.75,,no crossover to date
2015,1.0,,no crossover to date
2015,1.25,,no crossover to date
2015,1.5,,no crossover to date
2016,0.25,,no crossover to date
2016,0.5,,no crossover to date
2016,0.75,,no crossover to date
2016,1.0,,no crossover to date
2016,1.25,,no crossover to date
2016,1.5,,no crossover to date
2017,0.25,,no crossover to date
2017,0.5,,no crossover to date
2017,0.75,,no crossover to date
2017,1.0,,no crossover to date
2017,1.25,2025,
2017,1.5,2024,
2018,0.25,,no crossover to date
2018,0.5,,no crossover to date
2018,0.75,,no crossover to date
2018,1.0,,no crossover to date
2018,1.25,,no crossover to date
2018,1.5,2025,
2019,0.25,,no crossover to date
2019,0.5,,no crossover to date
2019,0.75,,no crossover to date
2019,1.0,,no crossover to date
2019,1.25,2019,
2019,1.5,2019,
2020,0.25,,no crossover to date
2020,0.5,2025,
2020,0.75,2024,
2020,1.0,2023,
2020,1.25,2023,
2020,1.5,2020,
2021,0.25,,no crossover to date
2021,0.5,,no crossover to date
2021,0.75,,no crossover to date
2021,1.0,2026,
2021,1.25,2025,
2021,1.5,2025,
2022,0.25,,no crossover to date
2022,0.5,,no crossover to date
2022,0.75,,no crossover to date
2022,1.0,,no crossover to date
2022,1.25,,no crossover to date
2022,1.5,,no crossover to date
2023,0.25,2023,
2023,0.5,2023,
2023,0.75,2023,
2023,1.0,2023,
2023,1.25,2023,
2023,1.5,2023,
2024,0.25,2024,
2024,0.5,2024,
2024,0.75,2024,
2024,1.0,2024,
2024,1.25,2024,
2024,1.5,2024,
2025,0.25,2025,
2025,0.5,2025,
2025,0.75,2025,
2025,1.0,2025,
2025,1.25,2025,
2025,1.5,2025,
