start_year,switch_cost,breakeven_r2,breakeven_r3,gap_r3_minus_r2
2010,0,2.0461,2.1363,0.0903
2010,3000,2.0461,2.0461,0.0000
2010,6000,2.0461,2.0461,0.0000
2011,0,1.8921,2.1083,0.2162
2011,3000,1.8921,1.8921,0.0000
2011,6000,1.8921,1.8921,0.0000
2012,0,1.9401,2.0888,0.1487
2012,3000,1.9401,1.9692,0.0291
2012,6000,1.9401,1.9401,0.0000
2013,0,1.8982,1.9630,0.0648
2013,3000,1.8982,1.8982,0.0000
2013,6000,1.8982,1.8982,0.0000
2014,0,1.6406,1.9370,0.2964
2014,3000,1.6406,1.6406,0.0000
2014,6000,1.6406,1.6406,0.0000
2015,0,1.6927,1.9085,0.2158
2015,3000,1.6927,1.7516,0.0589
2015,6000,1.6927,1.6927,0.0000
2016,0,1.6347,1.7299,0.0952
2016,3000,1.6347,1.6493,0.0146
2016,6000,1.6347,1.6347,0.0000
2017,0,1.2421,1.6638,0.4216
2017,3000,1.2421,1.3100,0.0679
2017,6000,1.2421,1.2421,0.0000
2018,0,1.3266,1.6506,0.3240
2018,3000,1.3266,1.4313,0.1047
2018,6000,1.3266,1.3347,0.0082
2019,0,1.3244,1.4716,0.1472
2019,3000,1.3244,1.3638,0.0394
2019,6000,1.3244,1.3244,0.0000
2020,0,0.5647,1.2210,0.6563
2020,3000,0.5647,0.7115,0.1467
2020,6000,0.5647,0.5647,0.0000
2021,0,0.9245,1.4665,0.5420
2021,3000,0.9245,1.1190,0.1945
2021,6000,0.9245,0.9763,0.0517
2022,0,1.5229,1.9268,0.4039
2022,3000,1.5229,1.6204,0.0975
2022,6000,1.5229,1.5229,0.0000
2023,0,-0.2375,0.0937,0.3312
2023,3000,-0.2375,-0.2375,0.0000
2023,6000,-0.2375,-0.2375,0.0000
2024,0,-1.0548,0.2053,1.2601
2024,3000,-1.0548,-0.5688,0.4860
2024,6000,-1.0548,-0.8677,0.1871
2025,0,-0.2993,0.9525,1.2518
2025,3000,-0.2993,0.0535,0.3528
2025,6000,-0.2993,-0.2993,0.0000
