start_year,switch_year,spread,cost_switched,cost_stayed_on_hdb,outcome
2010,2012,0.25,53953.40,125576.12,better
2010,2012,0.50,63973.60,125576.12,better
2010,2012,0.75,74135.27,125576.12,better
2010,2012,1.00,84436.94,125576.12,better
2010,2012,1.25,94877.05,125576.12,better
2010,2012,1.50,105453.97,125576.12,better
2011,2012,0.25,46330.61,121056.29,better
2011,2012,0.50,56876.08,121056.29,better
2011,2012,0.75,67571.04,121056.29,better
2011,2012,1.00,78413.75,121056.29,better
2011,2012,1.25,89402.32,121056.29,better
2011,2012,1.50,100534.79,121056.29,better
2010,2015,0.25,79586.73,125576.12,better
2010,2015,0.50,87033.38,125576.12,better
2010,2015,0.75,94564.49,125576.12,better
2010,2015,1.00,102179.15,125576.12,better
2010,2015,1.25,109876.43,125576.12,better
2010,2015,1.50,117655.37,125576.12,better
2011,2015,0.25,72872.21,121056.29,better
2011,2015,0.50,80755.42,121056.29,better
2011,2015,0.75,88728.25,121056.29,better
2011,2015,1.00,96789.63,121056.29,better
2011,2015,1.25,104938.42,121056.29,better
2011,2015,1.50,113173.46,121056.29,better
2012,2015,0.25,65773.30,116094.06,better
2012,2015,0.50,74081.96,116094.06,better
2012,2015,0.75,82485.18,116094.06,better
2012,2015,1.00,90981.67,116094.06,better
2012,2015,1.25,99570.11,116094.06,better
2012,2015,1.50,108249.09,116094.06,better
2013,2015,0.25,58299.86,110700.76,better
2013,2015,0.50,67023.12,110700.76,better
2013,2015,0.75,75845.66,110700.76,better
2013,2015,1.00,84765.98,110700.76,better
2013,2015,1.25,93782.50,110700.76,better
2013,2015,1.50,102893.61,110700.76,better
2014,2015,0.25,50461.45,104887.44,better
2014,2015,0.50,59588.77,104887.44,better
2014,2015,0.75,68819.86,104887.44,better
2014,2015,1.00,78152.99,104887.44,better
2014,2015,1.25,87586.35,104887.44,better
2014,2015,1.50,97118.07,104887.44,better
2010,2018,0.25,101664.83,125576.12,better
2010,2018,0.50,106767.52,125576.12,better
2010,2018,0.75,111913.43,125576.12,better
2010,2018,1.00,117102.08,125576.12,better
2010,2018,1.25,122332.99,125576.12,better
2010,2018,1.50,127605.66,125576.12,worse
2011,2018,0.25,95890.79,121056.29,better
2011,2018,0.50,101331.77,121056.29,better
2011,2018,0.75,106818.82,121056.29,better
2011,2018,1.00,112351.36,121056.29,better
2011,2018,1.25,117928.80,121056.29,better
2011,2018,1.50,123550.53,121056.29,worse
2012,2018,0.25,89707.46,116094.06,better
2012,2018,0.50,95478.02,116094.06,better
2012,2018,0.75,101297.36,116094.06,better
2012,2018,1.00,107164.78,116094.06,better
2012,2018,1.25,113079.58,116094.06,better
2012,2018,1.50,119041.04,116094.06,worse
2013,2018,0.25,83125.33,110700.76,better
2013,2018,0.50,89216.98,110700.76,better
2013,2018,0.75,95359.98,110700.76,better
2013,2018,1.00,101553.52,110700.76,better
2013,2018,1.25,107796.75,110700.76,better
2013,2018,1.50,114088.85,110700.76,worse
2014,2018,0.25,76154.61,104887.44,better
2014,2018,0.50,82559.09,104887.44,better
2014,2018,0.75,89017.35,104887.44,better
2014,2018,1.00,95528.45,104887.44,better
2014,2018,1.25,102091.43,104887.44,better
2014,2018,1.50,108705.32,104887.44,worse
2015,2018,0.25,68805.26,98664.88,better
2015,2018,0.50,75514.50,98664.88,better
2015,2018,0.75,82279.83,98664.88,better
2015,2018,1.00,89100.17,98664.88,better
2015,2018,1.25,95974.44,98664.88,better
2015,2018,1.50,102901.50,98664.88,worse
2016,2018,0.25,61086.96,92043.56,better
2016,2018,0.50,68093.12,92043.56,better
2016,2018,0.75,75157.55,92043.56,better
2016,2018,1.00,82279.03,92043.56,better
2016,2018,1.25,89456.33,92043.56,better
2016,2018,1.50,96688.18,92043.56,worse
2017,2018,0.25,53009.18,85033.71,better
2017,2018,0.50,60304.61,85033.71,better
2017,2018,0.75,67660.37,85033.71,better
2017,2018,1.00,75075.09,85033.71,better
2017,2018,1.25,82547.40,85033.71,better
2017,2018,1.50,90075.87,85033.71,worse
2010,2021,0.25,116182.67,125576.12,better
2010,2021,0.50,119189.50,125576.12,better
2010,2021,0.75,122213.29,125576.12,better
2010,2021,1.00,125253.85,125576.12,better
2010,2021,1.25,128310.97,125576.12,worse
2010,2021,1.50,131384.47,125576.12,worse
2011,2021,0.25,111170.59,121056.29,better
2011,2021,0.50,114406.22,121056.29,better
2011,2021,0.75,117660.03,121056.29,better
2011,2021,1.00,120931.78,121056.29,better
2011,2021,1.25,124221.23,121056.29,worse
2011,2021,1.50,127528.15,121056.29,worse
2012,2021,0.25,105729.04,116094.06,better
2012,2021,0.50,109187.53,116094.06,better
2012,2021,0.75,112665.35,116094.06,better
2012,2021,1.00,116162.23,116094.06,worse
2012,2021,1.25,119677.87,116094.06,worse
2012,2021,1.50,123211.99,116094.06,worse
2013,2021,0.25,99869.03,110700.76,better
2013,2021,0.50,103544.60,110700.76,better
2013,2021,0.75,107240.59,110700.76,better
2013,2021,1.00,110956.67,110700.76,worse
2013,2021,1.25,114692.51,110700.76,worse
2013,2021,1.50,118447.78,110700.76,worse
2014,2021,0.25,93601.28,104887.44,better
2014,2021,0.50,97488.30,104887.44,better
2014,2021,0.75,101396.76,104887.44,better
2014,2021,1.00,105326.30,104887.44,worse
2014,2021,1.25,109276.52,104887.44,worse
2014,2021,1.50,113247.02,104887.44,worse
2015,2021,0.25,86936.24,98664.88,better
2015,2021,0.50,91029.22,98664.88,better
2015,2021,0.75,95144.62,98664.88,better
2015,2021,1.00,99282.00,98664.88,worse
2015,2021,1.25,103440.92,98664.88,worse
2015,2021,1.50,107620.93,98664.88,worse
2016,2021,0.25,79884.10,92043.56,better
2016,2021,0.50,84177.70,92043.56,better
2016,2021,0.75,88494.63,92043.56,better
2016,2021,1.00,92834.39,92043.56,worse
2016,2021,1.25,97196.48,92043.56,worse
2016,2021,1.50,101580.40,92043.56,worse
2017,2021,0.25,72454.78,85033.71,better
2017,2021,0.50,76943.79,85033.71,better
2017,2021,0.75,81456.99,85033.71,better
2017,2021,1.00,85993.81,85033.71,worse
2017,2021,1.25,90553.70,85033.71,worse
2017,2021,1.50,95136.09,85033.71,worse
2018,2021,0.25,64657.95,77645.29,better
2018,2021,0.50,69337.30,77645.29,better
2018,2021,0.75,74041.64,77645.29,better
2018,2021,1.00,78770.34,77645.29,worse
2018,2021,1.25,83522.79,77645.29,worse
2018,2021,1.50,88298.35,77645.29,worse
2019,2021,0.25,56503.02,69888.01,better
2019,2021,0.50,61367.77,69888.01,better
2019,2021,0.75,66258.26,69888.01,better
2019,2021,1.00,71173.81,69888.01,worse
2019,2021,1.25,76113.71,69888.01,worse
2019,2021,1.50,81077.29,69888.01,worse
2020,2021,0.25,47999.17,61771.31,better
2020,2021,0.50,53044.52,61771.31,better
2020,2021,0.75,58116.30,61771.31,better
2020,2021,1.00,63213.77,61771.31,worse
2020,2021,1.25,68336.17,61771.31,worse
2020,2021,1.50,73482.73,61771.31,worse
