in_force_from,in_force_to,grant,scope,income_band_low,income_band_high,amount,source,source_quote,status
2019-09-11,,EHG_CEILING,first-timer family,,,9000,"hdb.gov.sg Enhanced CPF Housing Grant for families, saved as raw/hdb_ehg_page.pdf, page last updated 20 August 2026",The average gross monthly household income (all applicants and occupiers) for the months worked during the 12-month period must not exceed $9000,LEVEL-VERIFIED-PRIMARY
1994-01-01,2019-09-10,PURCHASE_AND_CPFHG_CEILING,first-timer family,,,12000,"housingmap.sg income ceiling history, read 2026-08-26",,NEEDS-PRIMARY
2019-09-11,2026-08-23,PURCHASE_AND_CPFHG_CEILING,first-timer family,,,14000,"MOF Budget 2023 Annex E-1, read 2026-09-12",meet the prevailing monthly income ceiling of $14000,LEVEL-VERIFIED-PRIMARY
2026-08-24,,PURCHASE_AND_CPFHG_CEILING,first-timer family,,,16000,"mynicehome.gov.sg grants guide read 2026-09-12; announced at National Day Rally, effective 24 August 2026",,NEEDS-PRIMARY
2015-08-24,2019-09-10,CPF_HOUSING_GRANT,resale 2-4 room first-timer family,0,12000,50000,MOF Budget 2023 Annex E-1 evidences the pre-change amount only,From $50000 to $80000 for those buying a 2- to 4-room resale flat,LEVEL-VERIFIED-PRIMARY
2019-09-11,2023-02-13,CPF_HOUSING_GRANT,resale 2-4 room first-timer family,0,14000,50000,MOF Budget 2023 Annex E-1 evidences the pre-change amount only,From $50000 to $80000 for those buying a 2- to 4-room resale flat,LEVEL-VERIFIED-PRIMARY
2023-02-14,2026-08-23,CPF_HOUSING_GRANT,resale 2-4 room first-timer family,0,14000,80000,"HDB and MND joint press release, Further support for First-time Homebuyers, 14 February 2023, saved as raw/hdb_20230214_further_support_first_timers.pdf","Increase the CPF Housing Grant for eligible first-time buyers of resale flats by up to $30000, from the current maximum grant amount of $50000 to $80000. Eligible First-Timer families who submit their resale applications on and from 14 Feb 2023, 3:30pm will qualify for this increased grant",VERIFIED-PRIMARY
2026-08-24,,CPF_HOUSING_GRANT,resale 2-4 room first-timer family,0,16000,80000,"mynicehome.gov.sg grants guide read 2026-09-12; ceiling raised 24 August 2026, amount unchanged",,NEEDS-PRIMARY
2015-08-24,2019-09-10,CPF_HOUSING_GRANT,resale 5-room or larger first-timer family,0,12000,40000,MOF Budget 2023 Annex E-1 evidences the pre-change amount only,From $40000 to $50000 for those buying a 5-room or larger resale flat,LEVEL-VERIFIED-PRIMARY
2019-09-11,2023-02-13,CPF_HOUSING_GRANT,resale 5-room or larger first-timer family,0,14000,40000,MOF Budget 2023 Annex E-1 evidences the pre-change amount only,From $40000 to $50000 for those buying a 5-room or larger resale flat,LEVEL-VERIFIED-PRIMARY
2023-02-14,2026-08-23,CPF_HOUSING_GRANT,resale 5-room or larger first-timer family,0,14000,50000,"HDB and MND joint press release, Further support for First-time Homebuyers, 14 February 2023, saved as raw/hdb_20230214_further_support_first_timers.pdf",increase the CPF Housing Grant ... from $40000 to $50000 for First-Timer families buying a 5-room or larger resale flat,VERIFIED-PRIMARY
2026-08-24,,CPF_HOUSING_GRANT,resale 5-room or larger first-timer family,0,16000,50000,"mynicehome.gov.sg grants guide read 2026-09-12; ceiling raised 24 August 2026, amount unchanged",,NEEDS-PRIMARY
2019-09-11,2024-08-19,EHG_MAX,first-timer family,0,9000,80000,"HDB and MND joint press release, Further support for First-time Homebuyers, 14 February 2023, saved as raw/hdb_20230214_further_support_first_timers.pdf; and HDB Annex A of 19 August 2024, Current column",Enhanced CPF Housing Grant (EHG) Up to $80000 ... No change,LEVEL-VERIFIED-PRIMARY
2024-08-20,,EHG_MAX,first-timer family,0,9000,120000,"HDB Annex A, 19 August 2024, Revised column, saved as raw/hdb_20240819_annexA_ehg_structure.pdf",Maximum EHG Amount: $120000,VERIFIED-PRIMARY
,,EHG_BANDS,first-timer family,,,,not obtained; requested as C1,,NOT-OBTAINED
2026-01-01,,PHG,living with parent or child,,,30000,"HDB and MND joint press release, Further support for First-time Homebuyers, 14 February 2023, saved as raw/hdb_20230214_further_support_first_timers.pdf",Proximity Housing Grant (PHG) Up to $30000,LEVEL-VERIFIED-PRIMARY
2026-01-01,,PHG,within 4km of parent or child,,,20000,"HDB and MND joint press release, Further support for First-time Homebuyers, 14 February 2023, saved as raw/hdb_20230214_further_support_first_timers.pdf",Proximity Housing Grant (PHG) Up to $30000,LEVEL-VERIFIED-PRIMARY
,,PHG_HISTORY,first-timer family,,,,not obtained; requested as C2,,NOT-OBTAINED
2011-08-01,2019-09-10,AHG,"first-timer family, resale included",,,40000,"HDB, MND and MICA flyer, Helping Low-Income Families Own Their Homes, saved as raw/hdb_mnd_shg_flyer_2011.pdf","AHG is available for all flat types, regardless whether the flat is bought from the HDB or the open market ... Not more than $1500: $40000",LEVEL-VERIFIED-PRIMARY
2011-08-01,2019-09-10,SHG,"new flats from HDB only, NOT resale",,2250,20000,"HDB, MND and MICA flyer, saved as raw/hdb_mnd_shg_flyer_2011.pdf",The SHG can only be used to purchase 2-room and 3-room standard flats in non-mature estates from HDB,LEVEL-VERIFIED-PRIMARY
,,AHG_INCOME_CEILING,first-timer family,,,,not obtained from any primary document; a party website gives 5000 but that is not usable,,NOT-OBTAINED
