year,buyer,price,monthly_income,ltv,rate,grant,loan,monthly_repayment,msr_pct,price_to_income_years,outlay_years,grant_series_valid
2013,p20,456000.0,3051.0,0.9,0.026,0.0,410400.0,1861.86,61.02,12.455,1.245,False
2013,p50,456000.0,7000.0,0.9,0.026,0.0,410400.0,1861.86,26.6,5.429,0.543,False
2013,p80,456000.0,13539.0,0.9,0.026,0.0,410400.0,1861.86,13.75,2.807,0.281,False
2014,p20,428000.0,3250.0,0.9,0.026,0.0,385200.0,1747.53,53.77,10.974,1.097,False
2014,p50,428000.0,7400.0,0.9,0.026,0.0,385200.0,1747.53,23.62,4.82,0.482,False
2014,p80,428000.0,14234.0,0.9,0.026,0.0,385200.0,1747.53,12.28,2.506,0.251,False
2015,p20,412234.0,3400.0,0.9,0.026,0.0,371011.0,1683.16,49.5,10.104,1.01,False
2015,p50,412234.0,7624.0,0.9,0.026,0.0,371011.0,1683.16,22.08,4.506,0.451,False
2015,p80,412234.0,14775.0,0.9,0.026,0.0,371011.0,1683.16,11.39,2.325,0.233,False
2016,p20,412508.0,3490.0,0.9,0.026,0.0,371257.0,1684.28,48.26,9.85,0.985,False
2016,p50,412508.0,7791.0,0.9,0.026,0.0,371257.0,1684.28,21.62,4.412,0.441,False
2016,p80,412508.0,14935.0,0.9,0.026,0.0,371257.0,1684.28,11.28,2.302,0.23,False
2017,p20,408363.0,3500.0,0.9,0.026,0.0,367526.0,1667.36,47.64,9.723,0.972,False
2017,p50,408363.0,7956.0,0.9,0.026,0.0,367526.0,1667.36,20.96,4.277,0.428,False
2017,p80,408363.0,15537.0,0.9,0.026,0.0,367526.0,1667.36,10.73,2.19,0.219,False
2018,p20,403131.0,3539.0,0.9,0.026,0.0,362818.0,1645.99,46.51,9.493,0.949,False
2018,p50,403131.0,8169.0,0.9,0.026,0.0,362818.0,1645.99,20.15,4.112,0.411,False
2018,p80,403131.0,15799.0,0.9,0.026,0.0,362818.0,1645.99,10.42,2.126,0.213,False
2019,p20,404300.0,3597.0,0.9,0.026,105000.0,299300.0,1357.83,37.75,9.367,0.0,True
2019,p50,404300.0,8333.0,0.9,0.026,60000.0,344300.0,1561.98,18.74,4.043,0.0,True
2019,p80,404300.0,16225.0,0.9,0.026,0.0,363870.0,1650.77,10.17,2.077,0.208,True
2020,p20,416480.0,3500.0,0.9,0.026,110000.0,306480.0,1390.41,39.73,9.916,0.0,True
2020,p50,416480.0,8092.0,0.9,0.026,60000.0,356480.0,1617.24,19.99,4.289,0.0,True
2020,p80,416480.0,15965.0,0.9,0.026,0.0,374832.0,1700.5,10.65,2.174,0.217,True
2021,p20,462137.0,3600.0,0.9,0.026,105000.0,357137.0,1620.22,45.01,10.698,0.0,True
2021,p50,462137.0,8421.0,0.9,0.026,60000.0,402137.0,1824.37,21.66,4.573,0.0,True
2021,p80,462137.0,16372.0,0.9,0.026,0.0,415923.0,1886.92,11.53,2.352,0.235,True
2022,p20,515849.0,3973.0,0.85,0.026,105000.0,410849.0,1863.9,46.91,10.82,0.0,True
2022,p50,515849.0,8904.0,0.85,0.026,55000.0,438472.0,1989.21,22.34,4.828,0.209,True
2022,p80,515849.0,17605.0,0.85,0.026,0.0,438472.0,1989.21,11.3,2.442,0.366,True
2023,p20,555150.0,4166.0,0.8,0.026,130000.0,425150.0,1928.78,46.3,11.105,0.0,True
2023,p50,555150.0,9646.0,0.8,0.026,80000.0,444120.0,2014.84,20.89,4.796,0.268,True
2023,p80,555150.0,18699.0,0.8,0.026,0.0,444120.0,2014.84,10.78,2.474,0.495,True
2024,p20,598911.0,4354.0,0.8,0.026,130000.0,468911.0,2127.31,48.86,11.463,0.0,True
2024,p50,598911.0,9999.0,0.8,0.026,80000.0,479129.0,2173.66,21.74,4.991,0.332,True
2024,p80,598911.0,19281.0,0.8,0.026,0.0,479129.0,2173.66,11.27,2.589,0.518,True
2025,p20,640157.0,4628.0,0.75,0.026,145000.0,480118.0,2178.15,47.06,11.527,0.271,True
2025,p50,640157.0,10591.0,0.75,0.026,80000.0,480118.0,2178.15,20.57,5.037,0.63,True
2025,p80,640157.0,20312.0,0.75,0.026,0.0,480118.0,2178.15,10.72,2.626,0.657,True
