year,buyer,monthly_income,ehg,ehg_note,family_grant,family_grant_ceiling,total_grant,grant_series_valid
2013,p20,3051.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,,0.0,False
2013,p50,7000.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,,0.0,False
2013,p80,13539.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,,0.0,False
2014,p20,3250.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,,0.0,False
2014,p50,7400.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,,0.0,False
2014,p80,14234.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,,0.0,False
2015,p20,3400.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,,0.0,False
2015,p50,7624.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,,0.0,False
2015,p80,14775.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,,0.0,False
2016,p20,3490.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,12000.0,0.0,False
2016,p50,7791.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,12000.0,0.0,False
2016,p80,14935.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,12000.0,0.0,False
2017,p20,3500.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,12000.0,0.0,False
2017,p50,7956.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,12000.0,0.0,False
2017,p80,15537.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,12000.0,0.0,False
2018,p20,3539.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,12000.0,0.0,False
2018,p50,8169.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,12000.0,0.0,False
2018,p80,15799.0,0.0,"before the EHG; AHG and SHG not sourced, nothing modelled, see README",0.0,12000.0,0.0,False
2019,p20,3597.0,55000.0,"banded, pre_aug2024 regime",50000.0,12000.0,105000.0,True
2019,p50,8333.0,10000.0,"banded, pre_aug2024 regime",50000.0,12000.0,60000.0,True
2019,p80,16225.0,0.0,"banded, pre_aug2024 regime",0.0,12000.0,0.0,True
2020,p20,3500.0,60000.0,"banded, pre_aug2024 regime",50000.0,14000.0,110000.0,True
2020,p50,8092.0,10000.0,"banded, pre_aug2024 regime",50000.0,14000.0,60000.0,True
2020,p80,15965.0,0.0,"banded, pre_aug2024 regime",0.0,14000.0,0.0,True
2021,p20,3600.0,55000.0,"banded, pre_aug2024 regime",50000.0,14000.0,105000.0,True
2021,p50,8421.0,10000.0,"banded, pre_aug2024 regime",50000.0,14000.0,60000.0,True
2021,p80,16372.0,0.0,"banded, pre_aug2024 regime",0.0,14000.0,0.0,True
2022,p20,3973.0,55000.0,"banded, pre_aug2024 regime",50000.0,14000.0,105000.0,True
2022,p50,8904.0,5000.0,"banded, pre_aug2024 regime",50000.0,14000.0,55000.0,True
2022,p80,17605.0,0.0,"banded, pre_aug2024 regime",0.0,14000.0,0.0,True
2023,p20,4166.0,50000.0,"banded, pre_aug2024 regime",80000.0,14000.0,130000.0,True
2023,p50,9646.0,0.0,"banded, pre_aug2024 regime",80000.0,14000.0,80000.0,True
2023,p80,18699.0,0.0,"banded, pre_aug2024 regime",0.0,14000.0,0.0,True
2024,p20,4354.0,50000.0,"banded, pre_aug2024 regime",80000.0,14000.0,130000.0,True
2024,p50,9999.0,0.0,"banded, pre_aug2024 regime",80000.0,14000.0,80000.0,True
2024,p80,19281.0,0.0,"banded, pre_aug2024 regime",0.0,14000.0,0.0,True
2025,p20,4628.0,65000.0,"banded, post_aug2024 regime",80000.0,14000.0,145000.0,True
2025,p50,10591.0,0.0,"banded, post_aug2024 regime",80000.0,14000.0,80000.0,True
2025,p80,20312.0,0.0,"banded, post_aug2024 regime",0.0,14000.0,0.0,True
